User:
anma2640
Hostname:
bnode0307
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                28
On-line CPU(s) list:   0-27
Thread(s) per core:    1
Core(s) per socket:    14
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 79
Model name:            Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
Stepping:              1
CPU MHz:               2899.968
Computation started at:
Tue Jan 11 16:14:03 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Tue Jan 4 18:32:55 MST 2022

nproc used: 56 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "18"
    },
    "wavefunction": {
        "right": "uhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "10000"
    },
    "sampling": {
        "seed": "361986",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "500"
    }
}

Number of orbitals:  76, nalpha:  12, nbeta:  8
Rankwise number of excitations    1   40 1164 2894 4086 1525  279   11    0    0
Number of determinants 10000

Initial state energy:  (-102.0875,-0)
Number of Cholesky vectors: 482
Using truncated Cholesky with 289 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-102.08634,-0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
   119     2.975e+01       -1.02315e+02     1.38519e+03      -1.025373799e+02        -1.025261357e+02        6.74e+03 
   120     3.000e+01       -1.02321e+02     1.38554e+03      -1.025295581e+02        -1.025261779e+02        6.79e+03 
   121     3.025e+01       -1.02307e+02     1.38455e+03      -1.025194111e+02        -1.025260955e+02        6.85e+03 
   122     3.050e+01       -1.02291e+02     1.38351e+03      -1.025254230e+02        -1.025260874e+02        6.91e+03 
   123     3.075e+01       -1.02301e+02     1.38421e+03      -1.025245870e+02        -1.025260696e+02        6.97e+03 
   124     3.100e+01       -1.02293e+02     1.38366e+03      -1.025181282e+02        -1.025259764e+02        7.02e+03 
   125     3.125e+01       -1.02312e+02     1.38503e+03      -1.025303663e+02        -1.025260274e+02        7.08e+03 
   126     3.150e+01       -1.02257e+02     1.38126e+03      -1.025241648e+02        -1.025260061e+02        7.14e+03 
   127     3.175e+01       -1.02308e+02     1.38477e+03      -1.025183233e+02        -1.025259189e+02        7.19e+03 
   128     3.200e+01       -1.02316e+02     1.38537e+03      -1.025193132e+02        -1.025258448e+02        7.25e+03 
   129     3.225e+01       -1.02320e+02     1.38572e+03      -1.025263132e+02        -1.025258500e+02        7.31e+03 
   130     3.250e+01       -1.02355e+02     1.38812e+03      -1.025404601e+02        -1.025260107e+02        7.36e+03 
   131     3.275e+01       -1.02343e+02     1.38717e+03      -1.025347767e+02        -1.025261060e+02        7.42e+03 
   132     3.300e+01       -1.02242e+02     1.38012e+03      -1.025285257e+02        -1.025261318e+02        7.48e+03 
   133     3.325e+01       -1.02334e+02     1.38650e+03      -1.025397532e+02        -1.025262767e+02        7.53e+03 
   134     3.350e+01       -1.02298e+02     1.38392e+03      -1.025267570e+02        -1.025262817e+02        7.59e+03 
   135     3.375e+01       -1.02340e+02     1.38685e+03      -1.025328366e+02        -1.025263500e+02        7.65e+03 
   136     3.400e+01       -1.02471e+02     1.39592e+03      -1.025277608e+02        -1.025263646e+02        7.70e+03 
   137     3.425e+01       -1.02157e+02     1.37417e+03      -1.025143829e+02        -1.025262435e+02        7.76e+03 
   138     3.450e+01       -1.02326e+02     1.38598e+03      -1.025199293e+02        -1.025261798e+02        7.82e+03 
   139     3.475e+01       -1.02351e+02     1.38772e+03      -1.025229027e+02        -1.025261470e+02        7.87e+03 
   140     3.500e+01       -1.02402e+02     1.39130e+03      -1.025226318e+02        -1.025261121e+02        7.93e+03 
   141     3.525e+01       -1.02124e+02     1.37213e+03      -1.025216146e+02        -1.025260685e+02        7.99e+03 
   142     3.550e+01       -1.02252e+02     1.38095e+03      -1.025101632e+02        -1.025259147e+02        8.04e+03 
   143     3.575e+01       -1.02216e+02     1.37859e+03      -1.025114692e+02        -1.025257766e+02        8.10e+03 
   144     3.600e+01       -1.02253e+02     1.38128e+03      -1.025213334e+02        -1.025257345e+02        8.16e+03 
   145     3.625e+01       -1.02271e+02     1.38253e+03      -1.025155815e+02        -1.025256390e+02        8.21e+03 
   146     3.650e+01       -1.02096e+02     1.37052e+03      -1.025207128e+02        -1.025255934e+02        8.27e+03 
   147     3.675e+01       -1.02281e+02     1.38326e+03      -1.025184525e+02        -1.025255275e+02        8.33e+03 
   148     3.700e+01       -1.02271e+02     1.38258e+03      -1.025180632e+02        -1.025254592e+02        8.38e+03 
   149     3.725e+01       -1.02297e+02     1.38439e+03      -1.025240828e+02        -1.025254467e+02        8.44e+03 
   150     3.750e+01       -1.02321e+02     1.38602e+03      -1.025347673e+02        -1.025255306e+02        8.50e+03 
   151     3.775e+01       -1.02103e+02     1.37096e+03      -1.025156017e+02        -1.025254430e+02        8.55e+03 
   152     3.800e+01       -1.02208e+02     1.37822e+03      -1.025224253e+02        -1.025254164e+02        8.61e+03 
   153     3.825e+01       -1.02076e+02     1.36912e+03      -1.025165946e+02        -1.025253400e+02        8.67e+03 
   154     3.850e+01       -1.02459e+02     1.39566e+03      -1.025284581e+02        -1.025253673e+02        8.73e+03 
   155     3.875e+01       -1.02207e+02     1.37813e+03      -1.025383287e+02        -1.025254784e+02        8.78e+03 
   156     3.900e+01       -1.02269e+02     1.38230e+03      -1.025262762e+02        -1.025254852e+02        8.84e+03 
   157     3.925e+01       -1.02277e+02     1.38284e+03      -1.025148451e+02        -1.025253952e+02        8.90e+03 
   158     3.950e+01       -1.02309e+02     1.38510e+03      -1.025289362e+02        -1.025254249e+02        8.95e+03 
